label,x,y,r,g,b,b_bgr,g_bgr,r_bgr,L,a,b_lab
pipeline,173,175,255,174,0,0,174,255,196,147,208
pipeline,166,176,255,149,0,0,149,255,182,160,205
pipeline,167,176,255,149,0,0,149,255,182,160,205
pipeline,168,176,255,133,0,0,133,255,174,168,203
pipeline,169,176,255,149,0,0,149,255,182,160,205
pipeline,170,176,255,163,0,0,163,255,190,153,207
pipeline,171,176,255,171,0,0,171,255,195,149,208
pipeline,172,176,255,170,0,0,170,255,194,149,208
pipeline,173,176,255,170,0,0,170,255,194,149,208
pipeline,174,176,255,174,0,0,174,255,196,147,208
pipeline,175,176,255,175,0,0,175,255,197,147,208
pipeline,176,176,255,140,0,0,140,255,177,165,203
pipeline,177,176,255,141,0,0,141,255,178,164,204
pipeline,178,176,255,143,0,0,143,255,179,163,204
pipeline,179,176,255,143,0,0,143,255,179,163,204
pipeline,180,176,255,143,0,0,143,255,179,163,204
pipeline,164,177,255,149,0,0,149,255,182,160,205
pipeline,165,177,255,149,0,0,149,255,182,160,205
pipeline,166,177,255,149,0,0,149,255,182,160,205
pipeline,167,177,255,149,0,0,149,255,182,160,205
pipeline,168,177,255,149,0,0,149,255,182,160,205
pipeline,169,177,255,148,0,0,148,255,182,161,205
pipeline,170,177,255,163,0,0,163,255,190,153,207
pipeline,171,177,255,162,0,0,162,255,190,153,206
pipeline,172,177,255,170,0,0,170,255,194,149,208
pipeline,173,177,255,170,0,0,170,255,194,149,208
pipeline,174,177,255,170,0,0,170,255,194,149,208
pipeline,175,177,255,175,0,0,175,255,197,147,208
pipeline,176,177,255,155,0,0,155,255,186,157,205
pipeline,177,177,255,156,0,0,156,255,186,157,206
pipeline,178,177,255,156,0,0,156,255,186,157,206
pipeline,179,177,255,155,0,0,155,255,186,157,205
pipeline,180,177,255,155,0,0,155,255,186,157,205
pipeline,181,177,255,155,0,0,155,255,186,157,205
pipeline,182,177,255,155,0,0,155,255,186,157,205
pipeline,162,178,255,149,0,0,149,255,182,160,205
pipeline,163,178,255,149,0,0,149,255,182,160,205
pipeline,164,178,255,149,0,0,149,255,182,160,205
pipeline,165,178,255,149,0,0,149,255,182,160,205
pipeline,166,178,255,149,0,0,149,255,182,160,205
pipeline,167,178,255,149,0,0,149,255,182,160,205
pipeline,168,178,255,149,0,0,149,255,182,160,205
pipeline,169,178,255,148,0,0,148,255,182,161,205
pipeline,170,178,255,171,0,0,171,255,195,149,208
pipeline,171,178,255,170,0,0,170,255,194,149,208
pipeline,172,178,255,170,0,0,170,255,194,149,208
pipeline,173,178,255,170,0,0,170,255,194,149,208
pipeline,174,178,255,170,0,0,170,255,194,149,208
pipeline,175,178,255,171,0,0,171,255,195,149,208
pipeline,176,178,255,154,0,0,154,255,185,158,205
pipeline,177,178,255,155,0,0,155,255,186,157,205
pipeline,178,178,255,155,0,0,155,255,186,157,205
pipeline,179,178,255,155,0,0,155,255,186,157,205
pipeline,180,178,255,155,0,0,155,255,186,157,205
pipeline,181,178,255,155,0,0,155,255,186,157,205
pipeline,182,178,255,155,0,0,155,255,186,157,205
pipeline,183,178,255,156,0,0,156,255,186,157,206
pipeline,184,178,255,136,0,0,136,255,175,167,203
pipeline,160,179,255,145,0,0,145,255,180,162,204
pipeline,161,179,255,145,0,0,145,255,180,162,204
pipeline,162,179,255,149,0,0,149,255,182,160,205
pipeline,163,179,255,149,0,0,149,255,182,160,205
pipeline,164,179,255,149,0,0,149,255,182,160,205
pipeline,165,179,255,149,0,0,149,255,182,160,205
pipeline,166,179,255,149,0,0,149,255,182,160,205
pipeline,167,179,255,149,0,0,149,255,182,160,205
pipeline,168,179,255,149,0,0,149,255,182,160,205
pipeline,169,179,255,148,0,0,148,255,182,161,205
pipeline,170,179,255,171,0,0,171,255,195,149,208
pipeline,171,179,255,170,0,0,170,255,194,149,208
pipeline,172,179,255,170,0,0,170,255,194,149,208
pipeline,173,179,255,170,0,0,170,255,194,149,208
pipeline,174,179,255,170,0,0,170,255,194,149,208
pipeline,175,179,255,171,0,0,171,255,195,149,208
pipeline,176,179,255,154,0,0,154,255,185,158,205
pipeline,177,179,255,155,0,0,155,255,186,157,205
pipeline,178,179,255,155,0,0,155,255,186,157,205
pipeline,179,179,255,155,0,0,155,255,186,157,205
pipeline,180,179,255,155,0,0,155,255,186,157,205
pipeline,181,179,255,155,0,0,155,255,186,157,205
pipeline,182,179,255,155,0,0,155,255,186,157,205
pipeline,183,179,255,156,0,0,156,255,186,157,206
pipeline,184,179,255,136,0,0,136,255,175,167,203
pipeline,185,179,255,137,0,0,137,255,176,166,203
pipeline,186,179,255,137,0,0,137,255,176,166,203
pipeline,158,180,255,145,0,0,145,255,180,162,204
pipeline,159,180,255,145,0,0,145,255,180,162,204
pipeline,160,180,255,145,0,0,145,255,180,162,204
pipeline,161,180,255,145,0,0,145,255,180,162,204
pipeline,162,180,255,145,0,0,145,255,180,162,204
pipeline,163,180,255,149,0,0,149,255,182,160,205
pipeline,164,180,255,149,0,0,149,255,182,160,205
pipeline,165,180,255,149,0,0,149,255,182,160,205
pipeline,166,180,255,149,0,0,149,255,182,160,205
pipeline,167,180,255,149,0,0,149,255,182,160,205
pipeline,168,180,255,149,0,0,149,255,182,160,205
pipeline,169,180,255,156,0,0,156,255,186,157,206
pipeline,170,180,255,171,0,0,171,255,195,149,208
pipeline,171,180,255,170,0,0,170,255,194,149,208
pipeline,172,180,255,170,0,0,170,255,194,149,208
pipeline,173,180,255,170,0,0,170,255,194,149,208
pipeline,174,180,255,170,0,0,170,255,194,149,208
pipeline,175,180,255,171,0,0,171,255,195,149,208
pipeline,176,180,255,154,0,0,154,255,185,158,205
